ImageCode,Title,Date Completed,Medium,Permission for mktg,History & comments
Apc,AppCity In Blue,2012,"watercolor, digital collage",Yes,
Ber,Seasonal Berries,2014,watercolor,Yes,
Bot,Fall Twig in Bottle,2007,watercolor,Yes,
Bus,Bus #79,2010,acrylic,Yes,
Ear,We Need the Earth,2011,clayboard,Yes,
Fre,Simon’s Freedom,2008,watercolor,Yes,
Fro,Front Door,2003,watercolor,Yes,is of our front door
Gro,Growths,2010,collage,Yes,
Lof,Loft Flowers,2014,watercolor,Yes,
Mel,Melting Snow,2003,watercolor,Yes,
Mus,For a Musician,2008,watercolor,Yes,wanted a music themed painting to hang in dining room
Myf,Mystic River in Fall,2004,watercolor,,
Par,Parking Problem,2012,"watercolor, digital collage",Yes,
Pro,Spring Promise,2003,pencil,Yes,"tree is in Joeys Park, Belmont MA, want to redo scan"
Rel,Relaxing in the Garden,2016,watercolor,Yes,
Sch,Old Schwamb Mill,2011,watercolor,Yes,
Sun,Sunny Day,2018,watercolor,Yes,
Twg,Fall Twigs,2007,watercolor,Yes,
Twr,"Water Tower, Arlington, Massachusetts",2008,watercolor,Yes,
